id,game_title,sub_title,game_system,genre,now_playing,game_status,game_hours,game_minutes,playtime_calc,add_date,start_date,beat_date,complete_date,game_notes
1,Time Crisis 2,,ARC,Shooter,N,Completed,,,,,,,,"Played through the entire game (with quarters!) Back in the late 90s as an 8 year old, myself, a fellow 3rd grade friend, and two of our summer camp junior counselors played through this game all the way at the arcade, rotating 2-and-2 when we died...just for the quality of the experience back then, this game gets 5 stars."
2,Guild Wars 2,,PC,MMORPG,N,Infinite,260,23,Actual,,,,,
3,MapleStory,,PC,MMORPG,N,Infinite,4156,0,Estimate,,,,,"My most played game. 2156 hours tracked via Xfire, estimated 2000 more before/after the Xfire days."
4,Need for Speed II,,PC,Racing,N,Completed,,,,,,,41465,
5,RollerCoaster Tycoon,,PC,Simulation,N,Beaten,,,,,,41465,,
6,StarCraft,,PC,Real-time strategy,N,Completed,,,,,,,41320,
7,Dr. Mario,,NES,Puzzle,N,Infinite,,,,,,,,
8,Excitebike,,NES,Racing,N,Infinite,,,,,,,,
9,Ivan 'Ironman' Stewart's Super Off Road,,NES,Racing,N,Completed,,,,,,,,
10,Kirby's Adventure,,NES,Platformer,N,Completed,,,,,,,,
11,Marble Madness,,NES,Platformer,N,Completed,,,,,,,,
12,Super Mario Bros.,,NES,Platformer,N,Completed,,,,,,,,
13,Dr. Robotnik's Mean Bean Machine,,GEN,Puzzle,N,Beaten,,,,,,,,
14,Sonic 3D Blast,,GEN,Platformer,N,Completed,,,,,,,41453,
15,Sonic Spinball,,GEN,Pinball,N,Completed,,,,,,,,
16,Sonic the Hedgehog,,GEN,Platformer,N,Beaten,,,,,,,,
17,Sonic the Hedgehog 2,,GEN,Platformer,N,Completed,,,,,,,,
18,1080 Snowboarding,,N64,Racing,N,Completed,,,,,,,,
19,Beetle Adventure Racing!,,N64,Racing,N,Completed,,,,,,,,
20,Diddy Kong Racing,,N64,Racing,N,Completed,,,,,,,,
21,Madden '99,,N64,Sports,N,Beaten,,,,,,,,
22,Mario Golf,,N64,Sports,N,Completed,,,,,,,,
23,Mario Kart 64,,N64,Racing,N,Completed,,,,,,,,
24,Mario Party,,N64,Party,N,Completed,,,,,,,,
25,Mario Tennis,,N64,Sports,N,Beaten,,,,,,,,
26,Mischief Makers,,N64,Platformer,N,Beaten,,,,,,,,
27,Off Road Challenge,,N64,Racing,N,Completed,,,,,,,,
28,Paper Mario,,N64,RPG,N,Beaten,22,58,Actual,,,,,
29,Pokemon Snap,,N64,Simulation,N,Completed,,,,,,,,
30,Pokemon Stadium,,N64,RPG,N,Beaten,,,,,,,,
31,Star Fox 64,,N64,Rail shooter,N,Completed,,,,,,,,
32,Super Mario 64,,N64,Platformer,N,Completed,,,,,,,,
33,The Legend of Zelda: Ocarina of Time,,N64,Action-adventure,N,Beaten,,,,,,,,
34,Wave Race 64,,N64,Racing,N,Completed,,,,,,,,
35,Yoshi's Story,,N64,Platformer,N,Beaten,,,,,,,,
36,Bugs Bunny in Double Trouble,,GG,Platformer,N,Completed,,,,,,,,
37,Ms. PAC-MAN,,GG,Maze,N,Infinite,,,,,,,,
38,Sonic 2,,GG,Platformer,N,Beaten,,,,,,,,
39,Sonic Chaos,,GG,Platformer,N,Beaten,,,,,,,,
40,Sonic Labyrinth,,GG,Puzzle,N,Completed,,,,,,,41788,
41,Sonic the Hedgehog: Triple Trouble,,GG,Platformer,N,Beaten,,,,,,,,
42,Super Columns,,GG,Puzzle,N,Infinite,,,,,,,,
43,Need for Speed III: Hot Pursuit,,PC,Racing,N,Completed,,,,3/25/1998,1/25/2019,43491,43493,
44,F-1 Race,,GBC,Racing,N,Completed,,,,,,,41786,
45,Kirby Tilt 'n' Tumble!,,GBC,Puzzle,N,Completed,,,,,,,,
46,Kirby's Dream Land,,GBC,Platformer,N,Completed,,,,,,,,
47,Kirby's Pinball Land,,GBC,Pinball,N,Completed,,,,,,,,
48,Marble Madness,,GBC,Platformer,N,Completed,,,,,,,,
49,Mario Golf,,GBC,Sports,N,Completed,,,,,,,,
50,Pokemon Pinball,,GBC,Pinball,N,Beaten,,,,,,,,
51,Pokemon Red,,GBC,RPG,N,Beaten,,,,,,,,
52,Pokemon Silver,,GBC,RPG,N,Completed,,,,,,,,
53,Pokemon Trading Card Game,,GBC,TCG,N,Completed,,,,,,,,
54,Pokemon Yellow,,GBC,RPG,N,Beaten,,,,,,,,
55,Super Mario Land,,GBC,Platformer,N,Completed,,,,,,,,
56,Super Mario Land 2: Six Golden Coins,,GBC,Platformer,N,Completed,,,,,,,,
57,The Legend of Zelda: Link's Awakening,,GBC,Action-adventure,N,Completed,,,,,,,,
58,Crazy Taxi,,DC,Racing,N,Completed,,,,,,,,
59,Gauntlet Legends,,DC,Hack & Slash,N,Completed,,,,,,,,
60,Hydro Thunder,,DC,Racing,N,Completed,,,,,,,,
61,Matt Hoffman's Pro BMX,,DC,Sports,N,Completed,,,,,,,,
62,NFL 2K1,,DC,Sports,N,Beaten,,,,,,,,
63,Power Stone,,DC,Fighting,N,Completed,,,,,,,,
64,Power Stone 2,,DC,Fighting,N,Beaten,,,,,,,,
65,Q*bert,,DC,Puzzle,N,Completed,,,,,,,,
66,Sega Bass Fishing,,DC,Sports,N,Completed,,,,,,,,
67,Sega GT,,DC,Racing,N,Beaten,,,,,,,,
68,Sonic Adventure,,DC,Platformer,N,Completed,,,,,,,41244,
69,Virtua Tennis,,DC,Sports,N,Completed,,,,,,,,
70,Advance Wars,,GBA,Turn-based tactics,N,Completed,55,0,Actual,,,,,Playtime estimated...but it's a true 100%.
71,Advance Wars 2: Black Hole Rising,,GBA,Turn-based tactics,N,Completed,45,0,Actual,,,,,Playtime estimated...but it's a true 100%.
72,Final Fantasy,,GBA,JRPG,N,Completed,21,39,Actual,,,,,
73,Final Fantasy II,,GBA,JRPG,N,Completed,6,13,Actual,,,,,
74,Final Fantasy IV,,GBA,JRPG,N,Completed,35,7,Actual,,,,,
75,Final Fantasy Tactics Advance,,GBA,Turn-based tactics,N,Completed,97,35,Actual,,,,,
76,Final Fantasy V,,GBA,JRPG,N,Beaten,32,9,Actual,,,,,
77,F-Zero: Maximum Velocity,,GBA,Racing,N,Completed,,,,,,,,
78,Golden Sun,,GBA,JRPG,N,Completed,29,59,Actual,,,,,
79,Golden Sun: The Lost Age,,GBA,JRPG,N,Mastered,54,0,Actual,,,,,Playtime estimated...but it's a true 100%.
80,Kirby & The Amazing Mirror,,GBA,Platformer,N,Completed,,,,,,,,
81,Kirby: Nightmare in Dream Land,,GBA,Platformer,N,Completed,,,,,,,,
82,Mario vs. Donkey Kong,,GBA,Puzzle,N,Completed,,,,,,,,
83,Matt Hoffman's Pro BMX,,GBA,Sports,N,Completed,,,,,,,,
84,Metal Slug Advance,,GBA,Shoot 'em up,N,Beaten,,,,,,,,
85,Pokemon Ruby,,GBA,RPG,N,Completed,300,0,Estimate,,,,,Top 10 most regrettable trade-ins...playtime estimated.
86,Super Mario World: Super Mario Advance 2,,GBA,Platformer,N,Completed,,,,,,,,
87,The Legend of Zelda: A Link to the Past/Four Swords,,GBA,Action-adventure,N,Completed,,,,,,,,
88,"Wario Ware, Inc. Mega Microgame$!",,GBA,Rhythm,N,Completed,,,,,,,,
89,Animal Crossing,,GCN,Simulation,N,Infinite,,,,,,,,
90,Baten Kaitos: Eternal Wings and the Lost Ocean,,GCN,JRPG,N,Beaten,,,,,,,,
91,Donkey Konga,,GCN,Rhythm,N,Beaten,,,,,,,,
92,Final Fantasy Crystal Chronicles,,GCN,JRPG,N,Completed,,,,,,,,
93,Hello Kitty: Roller Rescue,,GCN,Platformer,N,Completed,,,,,,,,
94,Kirby Air Ride,,GCN,Racing,N,Completed,,,,,,,,
95,Luigi's Mansion,,GCN,Action-adventure,N,Completed,,,,,,,,
96,Mario Golf Toadstool Tour (Target Special Edition),,GCN,Sports,N,Beaten,,,,,,,,
